seed,algorithm,makespan_s,completion_rate,backlog,distance_m,energy_kwh,replans,runtime_s
0,Greedy,12310.02623076923,1.0,0,79708.67881999997,199.27169705000003,14,0.0018431580019750982
0,Graph-ALNS,12428.080829268292,1.0,0,80060.36069000002,200.15090172499987,14,1.0688103049960773
0,VNS,11414.53956097561,1.0,0,87194.77616999998,217.98694042499994,13,0.6211940649991448
0,Tabu,11574.73173611111,1.0,0,88989.12995999992,222.4728249,13,0.22297677299866336
0,GA,11528.427058823529,1.0,0,86711.13817999998,216.7778454499999,13,0.6618733580016851
0,GES,10632.56751388889,1.0,0,84686.63921999997,211.7165980499999,12,0.07616795899957651
0,Memetic,12483.152642857143,1.0,0,81491.84111999998,203.72960279999992,14,4.431918682999822
1,Greedy,11421.439025641026,1.0,0,81235.00982999998,203.08752457499983,13,0.001798782001969812
1,Graph-ALNS,16082.911105882353,1.0,0,89346.94191999998,223.36735479999996,18,1.7313541350022206
1,VNS,11545.487946666666,1.0,0,91736.20415999996,229.34051039999989,13,0.5414563300009831
1,Tabu,11611.402513888888,1.0,0,88544.44441999996,221.36111105,13,0.19524629399984406
1,GA,11551.600105882353,1.0,0,84237.95704999998,210.59489262499991,13,0.6416601559994888
1,GES,12307.891870588235,1.0,0,88849.62808,222.1240702,14,0.07262774999981048
1,Memetic,11545.3691,1.0,0,85532.93196000002,213.83232989999996,13,4.075373051998213
2,Greedy,15106.212658536586,1.0,0,83540.37026999997,208.85092567500004,17,0.0018553810004959814
2,Graph-ALNS,14109.791105882354,1.0,0,88121.08025000001,220.30270062499991,16,1.1190192339990972
2,VNS,13306.534597560976,1.0,0,87367.24676000002,218.41811689999992,15,0.5888225790004071
2,Tabu,11610.46281707317,1.0,0,93850.40788999993,234.62601972499996,13,0.18810381700131984
2,GA,13226.710125,1.0,0,87604.91739,219.01229347499992,15,0.7055583900018974
2,GES,11529.651964705883,1.0,0,90074.02976999992,225.18507442499998,13,0.06997100899843645
2,Memetic,13126.543786666667,1.0,0,83943.76728999996,209.85941822500004,15,4.712929911998799
3,Greedy,14927.779,1.0,0,82505.43961999998,206.26359904999993,17,0.002079655003399239
3,Graph-ALNS,12472.345763888889,1.0,0,83992.35351999998,209.98088380000002,14,1.3208257740006957
3,VNS,13129.868342857142,1.0,0,91444.77008999995,228.61192522500008,15,0.6442657239986147
3,Tabu,15040.138580769231,1.0,0,86941.17286000004,217.35293214999987,17,0.24180234000050405
3,GA,13327.677826666666,1.0,0,81850.72348999996,204.62680872500002,15,0.8383829860031256
3,GES,14042.297670588236,1.0,0,87424.72618999999,218.5618154749999,16,0.08395447300154046
3,Memetic,18531.305213333333,1.0,0,92331.98959,230.82997397499994,21,6.489407948000917
4,Greedy,14043.02024,1.0,0,82099.03512999997,205.24758782499993,16,0.0018748920010693837
4,Graph-ALNS,11409.888411764707,1.0,0,87265.88449000001,218.1647112249999,13,0.863029037999695
4,VNS,13227.096586666667,1.0,0,87458.35196000001,218.64587989999998,15,0.6457390609975846
4,Tabu,15058.28488888889,1.0,0,92482.03076999998,231.2050769249999,17,0.22576022999783163
4,GA,12414.346388235293,1.0,0,89060.32259999998,222.65080650000002,14,0.6418882980015042
4,GES,12310.065634146342,1.0,0,85416.13586000001,213.54033964999996,14,0.07106780000140134
4,Memetic,13209.791105882354,1.0,0,83322.64046,208.30660114999998,15,4.549794830002611
